,start,end,country,type,subtype,killed,total_affected,est_damage,disaster_n,location
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Nuwara Eliya
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Galle
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Gampaha
2681,2008-04-27 00:00:00,2008-05-03 00:00:00,Sri Lanka,Storm,Tropical cyclone,9.0,50000.0,,2008-0184, Kegaller
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157,Banshkhali
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Anowara
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Sitakundo
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Mirershwarai
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Sandip
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Patia
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Boalkhali
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Satkania
2706,2009-04-19 00:00:00,2009-04-20 00:00:00,Bangladesh,Storm,Tropical cyclone,7.0,19209.0,,2009-0157, Chandnaish
